file,label,title,item_id,marketplace,query,euro,image_url
off_centre__v1_157833160268_0.jpg,off_centre,1983 Off Center Quarter- Mid-strike/error Coin,v1|157833160268|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/KAIAAeSwzJ1p3k45/s-l1600.jpg
off_centre__v1_278084849488_0.jpg,off_centre,Parcel Collar Error 2016 and Off Centre Strike £1 Errors,v1|278084849488|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/YHQAAeSwrkdqLW~A/s-l1600.jpg
off_centre__v1_318529469627_0.jpg,off_centre,1985-P Quarter 15% Off-Center Strike BU/UNC,v1|318529469627|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/9RgAAeSwEJNqRTZz/s-l1600.jpg
off_centre__v1_377042521402_0.jpg,off_centre,Error Coin Off Center Strike ● 5 Paisa Nepal ,v1|377042521402|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/otgAAeSwAYxpubv~/s-l1600.jpg
off_centre__v1_157801931562_0.jpg,off_centre,"1989 P USA Dime 10 Cents Coin, Off-Center Obverse Strike ERROR, AU About Unc",v1|157801931562|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/J6cAAeSwV5dpzEKE/s-l1600.jpg
off_centre__v1_158121886387_0.jpg,off_centre,1890 1c Indian Head Error Cent NGC VF30 Double Struck 2nd Strike 90% Off Center,v1|158121886387|0,EBAY_GB,off centre strike error coin,True,https://i.ebayimg.com/images/g/kPgAAeSwlOZqZlWo/s-l1600.jpg
off_centre__v1_127923416035_0.jpg,off_centre,Lincoln Penny Huge Off Center Strike Error Coin Broadstrike Type Error,v1|127923416035|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/z34AAeSw7IlqEAvE/s-l1600.jpg
off_centre__v1_158088733268_0.jpg,off_centre,Lincoln Memorial 1¢ Off-Center Strike Error Coin Collectible,v1|158088733268|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/WVsAAeSwpx9qWNA3/s-l1600.jpg
off_centre__v1_318621141749_0.jpg,off_centre,1989 Washington  Quarter Mint State 30% Off-Center Strike Mint Error BU/UNC 2,v1|318621141749|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/jxwAAeSwY89qYSeW/s-l1600.jpg
off_centre__v1_376178242628_0.jpg,off_centre,Error Coin: 1977 South Africa 1 Rand / Off Centre Strike / Nice Thick Lip / Grad,v1|376178242628|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/ybgAAOSwGdRmsFVK/s-l1600.jpg
off_centre__v1_188129099788_0.jpg,off_centre,RARE MINTING ERROR 1996 CANADA $2 COIN. OFF CENTRE PLANCHET STRIKE ERROR.,v1|188129099788|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/AKMAAeSw9OJo7JUX/s-l1600.jpg
off_centre__v1_154491036027_0.jpg,off_centre,1979 2C ERROR STRUCK OUT OF COLLAR OFF CENTRE STRIKE MIS STRUCK RAINBOW TONED,v1|154491036027|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/4HEAAOSwf3ZguHB1/s-l1600.jpg
off_centre__v1_407048586945_0.jpg,off_centre,"RARE ""MINTING ERROR"" OF 1996 CANADA $2 COIN. CENTRE PLANCHET OFF STRIKE ERROR.",v1|407048586945|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/wn0AAeSwSZBqSWtw/s-l1600.jpg
off_centre__v1_188180437624_0.jpg,off_centre,2001 Australia 2 Dollars Coin Double Rim Both Sides Error Off Centre Strike,v1|188180437624|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/irIAAeSwAvJpuyY8/s-l1600.jpg
off_centre__v1_318526396833_0.jpg,off_centre,Lincoln Cent Penny MINT ERROR Struck Off Center NGC Brill Unc Vegas Strip Hoard,v1|318526396833|0,EBAY_GB,off centre strike error coin,True,https://i.ebayimg.com/images/g/h48AAeSwrBNqRYOK/s-l1600.jpg
off_centre__v1_127997265957_0.jpg,off_centre,"ER288 MEXICO. Mint Error -- Double Struck, 2nd Strike 45% Off-Center -- 50 Centa",v1|127997265957|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/gL4AAOSw1YliJXcK/s-l1600.jpg
off_centre__v1_318637976668_0.jpg,off_centre,ANACS MS63   1983-P  Double Struck Jefferson  Nickel 2nd strike 95% Off Center,v1|318637976668|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/LMYAAeSwgPtqZkZy/s-l1600.jpg
off_centre__v1_157779751497_0.jpg,off_centre,NGC Certified Lincoln Cent Error Trio Off Center Broadstrike Uncirculated,v1|157779751497|0,EBAY_GB,off centre strike error coin,True,https://i.ebayimg.com/images/g/v8kAAeSwCmBp5rVq/s-l1600.jpg
off_centre__v1_318626256171_0.jpg,off_centre,1991 Washington Clad Quarter Mint State 20% Off-Center Strike Mint Error,v1|318626256171|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/zSgAAeSwvqJqYn38/s-l1600.jpg
off_centre__v1_278109681895_0.jpg,off_centre,UNC MEXICO 1 Peso 1982 50% Off Centre Error Strike Coin [[[G780,v1|278109681895|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/9zEAAeSwf55qNyE2/s-l1600.jpg
off_centre__v1_800222822766_0.jpg,off_centre,CLAD MAJOR OFF CENTER STRIKE ERROR ROOSEVELT DIME COIN UNCIRCULATED,v1|800222822766|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/-8oAAeSwY5FqK3jk/s-l1600.jpg
off_centre__v1_267566206859_0.jpg,off_centre,"1957 Spain 5 Pesetas Madrid, Mint Error, Off Centre Strike, UNC Lustrous Rare",v1|267566206859|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/xBAAAeSwCylpgjrT/s-l1600.jpg
off_centre__v1_137552070989_0.jpg,off_centre,2 € PORTUGAL 2002 Mint Error – Off Center Strike – Rare Error Coin,v1|137552070989|0,EBAY_GB,off centre strike error coin,True,https://i.ebayimg.com/images/g/7LkAAeSw2MxqZc~w/s-l1600.jpg
off_centre__v1_117276983122_0.jpg,off_centre,1941 S 10c Mercury Dime Off Center Partial Collar Strike Error Coin PCGS MS61,v1|117276983122|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/P4IAAeSwhb5oXvh6/s-l1600.jpg
off_centre__v1_206443467019_0.jpg,off_centre,2005 Roosevelt Dime Off Center Strike Error ,v1|206443467019|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/xi4AAeSw8vVqZm~L/s-l1600.jpg
off_centre__v1_137526921797_0.jpg,off_centre,Error Coin Off Center Strike Quater Lot  BU  1981/1982,v1|137526921797|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/2WYAAOSwxbdk5AP0/s-l1600.jpg
off_centre__v1_168389024415_0.jpg,off_centre,Netherlands off center strike mis-strike error 10 cents 1969 and 25 cents 1977,v1|168389024415|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/vZgAAOSwlMxh0IDc/s-l1600.jpg
off_centre__v1_277584413256_0.jpg,off_centre,"1939 Jefferson Nickel  Die chip Obser,(DDR) Doubled Monticello Error, off center",v1|277584413256|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/Pq0AAeSw-CJpQzKb/s-l1600.jpg
off_centre__v1_157522618739_0.jpg,off_centre,1976-D Roosevelt Dime Error Coin Off Center Strike (I & W) Are Touch Rim,v1|157522618739|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/448AAeSwR3ppMkHb/s-l1600.jpg
off_centre__v1_267590141108_0.jpg,off_centre,1977 KENNEDY HALF DOLLAR NO MINT MARK RARE ERROR OFF CENTER STRIKE US COIN,v1|267590141108|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/BOcAAeSw8ltpo6Lw/s-l1600.jpg
off_centre__v1_236070607426_0.jpg,off_centre,"1999 D Penny Errors Struck Off Center, DDO, DDR, Die Crack, Close AM, (MS)",v1|236070607426|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/lGwAAeSwUfVoCp1L/s-l1600.jpg
off_centre__v1_206280309938_0.jpg,off_centre,Penny Off-Center Strike 2001 P,v1|206280309938|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/5iIAAeSw-BhqCaYm/s-l1600.jpg
off_centre__v1_336155108550_0.jpg,off_centre,2016 Off Center Strike Lincoln Penny Denver,v1|336155108550|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/u~4AAeSw6X1otPwe/s-l1600.jpg
off_centre__v1_158080033415_0.jpg,off_centre,🇺🇸 ICG MS62 RB Off Center Lincoln Cent Mint Error Broad Off-Center Strike 1C,v1|158080033415|0,EBAY_GB,off centre strike error coin,True,https://i.ebayimg.com/images/g/ay4AAeSw3mlqXair/s-l1600.jpg
off_centre__v1_318643243747_0.jpg,off_centre,Jefferson Nickel 80% Off-Center Strike  Mint Error  BU/UNC,v1|318643243747|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/i6MAAeSw9ABqZ7zz/s-l1600.jpg
off_centre__v1_358842743623_0.jpg,off_centre,"2022 P Voto para La Mujer Quarter - Strike Through On Head, Off Center & Diechip",v1|358842743623|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/CJcAAeSw7ydpTASo/s-l1600.jpg
off_centre__v1_154565183200_0.jpg,off_centre,1960 SIXPENCE ERROR COIN HIGHH LIP OUT OF COLLAR STRIKE OFF CENTRE,v1|154565183200|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/uxYAAOSw8cphCfrU/s-l1600.jpg
off_centre__v1_267590127245_0.jpg,off_centre,"1972 Kennedy Half Dollar Coin No Mint Mark, Off Center Strike Great Condition!",v1|267590127245|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/Ir8AAeSwjM1po5~A/s-l1600.jpg
off_centre__v1_235655787581_0.jpg,off_centre,1939 ERROR PCGS MS63 20% OFF CENTER Jefferson Nickel BU Coin FRED WEINBERG Ped.,v1|235655787581|0,EBAY_GB,off centre strike error coin,False,https://i.ebayimg.com/images/g/nD8AAOSweIZjJqDb/s-l1600.jpg
