file,label,category,licence,artist,width,height,source
us_mint_error__1963_Lincoln_Cent_Struck_After_Split_Error.jpg,us_mint_error,Category:United States Mint errors,CC BY-SA 4.0,Patriot62371,714,380,https://commons.wikimedia.org/wiki/File:1963_Lincoln_Cent_Struck_After_Split_Error.jpg
us_mint_error__1963_Lincoln_Cent_Struck_Before_Split_Error.jpg,us_mint_error,Category:United States Mint errors,CC BY-SA 4.0,Patriot62371,716,384,https://commons.wikimedia.org/wiki/File:1963_Lincoln_Cent_Struck_Before_Split_Error.jpg
us_mint_error__1969-SLincolncentDDO.jpg,us_mint_error,Category:United States Mint errors,CC BY-SA 3.0,Contactsmc,200,200,https://commons.wikimedia.org/wiki/File:1969-SLincolncentDDO.jpg
us_mint_error__1993_MAD_clash.jpg,us_mint_error,Category:United States Mint errors,CC BY 1.0,Wcarper,1326,499,https://commons.wikimedia.org/wiki/File:1993_MAD_clash.jpg
us_mint_error__1995_DDO_LIB_-_Copy.jpg,us_mint_error,Category:United States Mint errors,CC BY 1.0,Wcarper,1339,329,https://commons.wikimedia.org/wiki/File:1995_DDO_LIB_-_Copy.jpg
unsorted__2_penny_silver_obverse_to_used.png,unsorted,Category:Error coins,CC BY-SA 4.0,Huaxiazidi,1106,1107,https://commons.wikimedia.org/wiki/File:2_penny_silver_obverse_to_used.png
unsorted__2-3_Thaler_1694_Einhorngulden_Ernst_August-0058_rev_.jpg,unsorted,Category:Error coins,CC BY-SA 4.0,"Fa. Linnartz, Lohmar/Köln",562,547,https://commons.wikimedia.org/wiki/File:2-3_Thaler_1694_%27Einhorngulden%27_Ernst_August-0058_(rev).jpg
off_centre__4_clipped_off_center_error_cents.jpg,off_centre,Category:United States Mint errors,CC BY-SA 4.0,Doug coins,570,537,https://commons.wikimedia.org/wiki/File:4_clipped_off_center_error_cents.jpg
overstrike__5_shillings_dollar.jpg,overstrike,Category:Overstruck coins,CC BY-SA 3.0,Patout 450,500,243,"https://commons.wikimedia.org/wiki/File:5_shillings,_dollar.jpg"
overstrike__87C122._Post_medieval_coin_r_formation_of_Louis_XIV_FindID_189244_.jpg,overstrike,Category:Overstruck coins,CC BY-SA 2.0,", Ciorstaidh Hayward Trevarthen, 2007-08-29 09:31:08",1863,1259,"https://commons.wikimedia.org/wiki/File:87C122._Post_medieval_coin_,_r%C3%A9formation_of_Louis_XIV_(FindID_189244).jpg"
unsorted__Andriscus_coin_cropped.png,unsorted,Category:Coins of Andriskos,CC BY-SA 2.5,CNG,393,376,https://commons.wikimedia.org/wiki/File:Andriscus_coin_cropped.png
unsorted__Antoninianus-Dryantilla-RIC_0002-2.jpg,unsorted,Category:Coins of Sulpicia Dryantilla,CC BY-SA 3.0,Unknown authorUnknown author,208,202,https://commons.wikimedia.org/wiki/File:Antoninianus-Dryantilla-RIC_0002-2.jpg
overstrike__Antoninianus-Dryantilla-RIC_0002.jpg,overstrike,Category:Overstruck coins,CC BY-SA 3.0,,412,202,https://commons.wikimedia.org/wiki/File:Antoninianus-Dryantilla-RIC_0002.jpg
unsorted__Athens_3543428164_.jpg,unsorted,Category:Error coins,CC BY 2.0,"Tilemahos Efthimiadis from Athens, Greece",2778,1270,https://commons.wikimedia.org/wiki/File:Athens_%CE%91%CE%B8%CE%AE%CE%BD%CE%B1%CE%B9_(3543428164).jpg
planchet__Augsburg_Taler_1643.4_obv_.jpg,planchet,Category:Flan defect,CC BY-SA 3.0 de,Hermann Junghans,3157,3181,https://commons.wikimedia.org/wiki/File:Augsburg_Taler_1643.4_(obv).jpg
overstrike__Augustus_-_M_nzkabinett_Berlin_-_5492297.jpg,overstrike,Category:Overstruck coins,Public domain,Reinhard Saczewski,1334,683,"https://commons.wikimedia.org/wiki/File:Augustus_-_M%C3%BCnzkabinett,_Berlin_-_5492297.jpg"
overstrike__Augustus_-_M_nzkabinett_Berlin_-_5492314.jpg,overstrike,Category:Overstruck coins,Public domain,Reinhard Saczewski,1259,671,"https://commons.wikimedia.org/wiki/File:Augustus_-_M%C3%BCnzkabinett,_Berlin_-_5492314.jpg"
overstrike__Bank_of_England_Dollar_1804_George_III_detail_-48207.jpg,overstrike,Category:Overstruck coins,CC BY-SA 4.0,Raimond Spekking,3498,1245,https://commons.wikimedia.org/wiki/File:Bank_of_England_Dollar_1804_George_III_(detail)-48207.jpg
overstrike__Bank_of_England_Dollar_1804_George_III_obv_-48206_cropped_.jpg,overstrike,Category:Overstruck coins,CC BY-SA 4.0,Raimond Spekking,4686,4686,https://commons.wikimedia.org/wiki/File:Bank_of_England_Dollar_1804_George_III_(obv)-48206_(cropped).jpg
overstrike__Bank_of_England_Dollar_1804_George_III_obv_-48206.jpg,overstrike,Category:Overstruck coins,CC BY-SA 4.0,Raimond Spekking,3906,3906,https://commons.wikimedia.org/wiki/File:Bank_of_England_Dollar_1804_George_III_(obv)-48206.jpg
overstrike__Bank_of_England_Dollar_1804_George_III_rev_-48207.jpg,overstrike,Category:Overstruck coins,CC BY-SA 4.0,Raimond Spekking,3906,3906,https://commons.wikimedia.org/wiki/File:Bank_of_England_Dollar_1804_George_III_(rev)-48207.jpg
us_mint_error__Broad_strike.jpg,us_mint_error,Category:United States Mint errors,CC BY-SA 3.0,,596,269,https://commons.wikimedia.org/wiki/File:Broad_strike.jpg
brockage__Brockage.jpg,brockage,Category:United States Mint errors,CC BY-SA 3.0,,295,305,https://commons.wikimedia.org/wiki/File:Brockage.jpg
brockage__Brockaged_Henry_III_Void_Long_Cross_penny_FindID_653631_.jpg,brockage,Category:Brockage,CC BY-SA 4.0,"Kent County Council, Walter (Jo) Ahmet, 2014-12-04 16:31:52",2555,1613,https://commons.wikimedia.org/wiki/File:Brockaged_Henry_III_Void_Long_Cross_penny_(FindID_653631).jpg
overstrike__Bronze_coin_of_Serdi_Celts.jpg,overstrike,Category:Overstruck coins,CC BY-SA 3.0,Johny SYSEL,4096,2048,https://commons.wikimedia.org/wiki/File:Bronze_coin_of_Serdi_Celts.jpg
overstrike__COIN_FindID_228412_.jpg,overstrike,Category:Overstruck coins,CC BY 2.0,"Somerset County Council, Wil Partridge, 2017-06-30 14:07:37",797,468,https://commons.wikimedia.org/wiki/File:COIN_(FindID_228412).jpg
overstrike__COIN_FindID_825140_.jpg,overstrike,Category:Overstruck coins,CC BY 2.0,"The Portable Antiquities Scheme, Dominic Shelley, 2017-03-16 16:20:35",1168,530,https://commons.wikimedia.org/wiki/File:COIN_(FindID_825140).jpg
overstrike__Carausius_Radiate_overstruck_on_Postumus_obverse_FindID_550176_.jpg,overstrike,Category:Overstruck coins,CC BY-SA 2.0,"All rights reserved, Sam Moorhead, 2013-03-14 09:33:17",2048,1536,https://commons.wikimedia.org/wiki/File:Carausius_Radiate_overstruck_on_Postumus_obverse_(FindID_550176).jpg
overstrike__Carausius_radiate_overstruck_on_Postumus_reverse_FindID_550176_.jpg,overstrike,Category:Overstruck coins,CC BY-SA 4.0,"All rights reserved, Sam Moorhead, 2013-03-14 09:34:00",2048,1536,https://commons.wikimedia.org/wiki/File:Carausius_radiate_overstruck_on_Postumus_reverse_(FindID_550176).jpg
unsorted__Chile_5_Centavos_1928_DDR.jpg,unsorted,Category:Error coins,CC BY-SA 4.0,Jespinos,480,640,https://commons.wikimedia.org/wiki/File:Chile_5_Centavos_1928_DDR.jpg
overstrike__Coin_FindID_68358_.jpg,overstrike,Category:Overstruck coins,CC BY-SA 4.0,"Suffolk County Council, Faye Minter, 2004-06-24 10:32:54",1464,932,https://commons.wikimedia.org/wiki/File:Coin_(FindID_68358).jpg
overstrike__Constantius_II_nummus_FEL_TEMP_REPARATIO_overstrike_obverse_FindID_483929_.jpg,overstrike,Category:Overstruck coins,CC BY-SA 4.0,"All rights reserved, Sam Moorhead, 2012-01-25 09:01:22",800,600,https://commons.wikimedia.org/wiki/File:Constantius_II_nummus_FEL_TEMP_REPARATIO_overstrike_obverse_(FindID_483929).jpg
overstrike__Constantius_II_nummus_FEL_TEMP_REPARATIO_overstrike_reverse_FindID_483929_.jpg,overstrike,Category:Overstruck coins,CC BY-SA 2.0,"All rights reserved, Sam Moorhead, 2012-01-25 09:03:02",600,800,https://commons.wikimedia.org/wiki/File:Constantius_II_nummus_FEL_TEMP_REPARATIO_overstrike_reverse_(FindID_483929).jpg
overstrike__Copper_coin_of_Fath-Ali_Shah_Qajar_minted_in_Fuman.jpg,overstrike,Category:Overstruck coins,CC BY-SA 2.5,User:LouisAragon (uploader),800,392,"https://commons.wikimedia.org/wiki/File:Copper_coin_of_Fath-Ali_Shah_Qajar,_minted_in_Fuman.jpg"
us_mint_error__Del_Monte_note.jpg,us_mint_error,Category:United States Mint errors,Public domain,PMG,999,726,https://commons.wikimedia.org/wiki/File:Del_Monte_note.jpg
us_mint_error__Die_cap.jpg,us_mint_error,Category:United States Mint errors,CC BY-SA 4.0,Economicrealist,477,350,https://commons.wikimedia.org/wiki/File:Die_cap.jpg
planchet__DollarMajorPlanchetDamage.jpg,planchet,Category:Error coins,Public domain,Psu256,3072,2304,https://commons.wikimedia.org/wiki/File:DollarMajorPlanchetDamage.jpg
doubled_die__Doubled_Die_Reverse_on_1958_Chile_1_Peso_coin.jpg,doubled_die,Category:Error coins,CC BY-SA 4.0,Jespinos,640,480,https://commons.wikimedia.org/wiki/File:Doubled_Die_Reverse_on_1958_Chile_1_Peso_coin.jpg
doubled_die__Doubled_die1955_Lincoln_cent.jpg,doubled_die,Category:United States Mint errors,Public domain,Professional Coin Grading Service,5757,2905,https://commons.wikimedia.org/wiki/File:Doubled_die1955_Lincoln_cent.jpg
overstrike__Dupondius_Byzacium_Achulla_001.jpg,overstrike,Category:Overstruck coins,CC BY-SA 3.0,Unknown authorUnknown author,800,389,https://commons.wikimedia.org/wiki/File:Dupondius_Byzacium_Achulla_001.jpg
overstrike__Dupondius_Byzacium_Achulla_002_Obverse.PNG,overstrike,Category:Overstruck coins,CC BY-SA 3.0,Unknown authorUnknown author,320,310,https://commons.wikimedia.org/wiki/File:Dupondius_Byzacium_Achulla_002_Obverse.PNG
error_de__Fehlpr_gung_Spiegelei_.jpg,error_de,Category:Error coins,CC BY-SA 4.0,Florian Furtner,960,905,https://commons.wikimedia.org/wiki/File:Fehlpr%C3%A4gung_%22Spiegelei%22.jpg
us_mint_error__Flipover.jpg,us_mint_error,Category:United States Mint errors,CC BY-SA 3.0,,498,289,https://commons.wikimedia.org/wiki/File:Flipover.jpg
overstrike__Gautamiputra_Sri_Satakarni_overstruck_on_a_coin_of_Nahapana.jpg,overstrike,Category:Overstruck coins of Nahapana,CC BY-SA 3.0,Uploadalt,1506,1420,https://commons.wikimedia.org/wiki/File:Gautamiputra_Sri_Satakarni_overstruck_on_a_coin_of_Nahapana.jpg
overstrike__Gautamiputra_Yajna_Satakarni_over_Nahapana.jpg,overstrike,Category:Overstruck coins of Nahapana,CC BY-SA 3.0,CNG coins,800,392,https://commons.wikimedia.org/wiki/File:Gautamiputra_Yajna_Satakarni_over_Nahapana.jpg
overstrike__GautamiputraRestruckOnANahapanaCoin.JPG,overstrike,Category:Overstruck coins of Nahapana,CC BY-SA 3.0,PHGCOM,449,439,https://commons.wikimedia.org/wiki/File:GautamiputraRestruckOnANahapanaCoin.JPG
mule__Great_Britain_dateless_double_Obverse_Mule_Halfpenny_Edward_VII_1902_to_1910_Error_Coin._Obverse.jpg,mule,Category:Mule (coin),Public domain,Berlin-George,1612,1604,"https://commons.wikimedia.org/wiki/File:Great_Britain_dateless_double_Obverse_Mule_Halfpenny_Edward_VII_1902_to_1910,_Error_Coin._Obverse.jpg"
mule__Great_Britain_dateless_double_Obverse_Mule_Halfpenny_Edward_VII_1902_to_1910_Error_Coin._Reverse.jpg,mule,Category:Mule (coin),Public domain,Berlin-George,1725,1681,"https://commons.wikimedia.org/wiki/File:Great_Britain_dateless_double_Obverse_Mule_Halfpenny_Edward_VII_1902_to_1910,_Error_Coin._Reverse.jpg"
overstrike__Heraclius_and_Heraclius_Constantine_follis_Constantinople_obv_FindID_498590_.jpg,overstrike,Category:Overstruck coins,CC BY-SA 2.0,"All rights reserved, Sam Moorhead, 2012-04-17 12:28:00",640,624,https://commons.wikimedia.org/wiki/File:Heraclius_and_Heraclius_Constantine_follis_Constantinople_obv_(FindID_498590).jpg
overstrike__Heraclius_and_Heraclius_Constantine_Constantinople_Obv_FindID_498590_.jpg,overstrike,Category:Overstruck coins,CC BY-SA 4.0,"All rights reserved, Sam Moorhead, 2012-04-17 12:29:15",640,624,"https://commons.wikimedia.org/wiki/File:Heraclius_and_Heraclius_Constantine,_Constantinople_Obv_(FindID_498590).jpg"
unsorted__INDO-PARTHIANS_Aria_or_Margiana._Tanlis_Mardates_with_Raggodeme._Mid-late_1st_century_BCE.jpg,unsorted,Category:Error coins,CC BY-SA 3.0,CNG,2088,1012,"https://commons.wikimedia.org/wiki/File:INDO-PARTHIANS,_Aria_or_Margiana._Tanlis_Mardates,_with_Raggodeme._Mid-late_1st_century_BCE.jpg"
us_mint_error__InGodWeRust.jpg,us_mint_error,Category:United States Mint errors,Public domain,Genesis Widick at English Wikipedia,400,371,https://commons.wikimedia.org/wiki/File:InGodWeRust.jpg
unsorted__India_recent_25_paise_coin_mis-struck.JPG,unsorted,Category:Error coins,Public domain,Reserve Bank of India / Alfons Åberg,963,515,https://commons.wikimedia.org/wiki/File:India_recent_25_paise_coin_mis-struck.JPG
us_mint_error__JN1970HIGHD.jpg,us_mint_error,Category:United States Mint errors,CC BY-SA 3.0,Contactsmc,800,600,https://commons.wikimedia.org/wiki/File:JN1970HIGHD.jpg
us_mint_error__JN1970LOWD.jpg,us_mint_error,Category:United States Mint errors,CC BY-SA 3.0,Contactsmc,800,600,https://commons.wikimedia.org/wiki/File:JN1970LOWD.jpg
cud__Jefferson_cud.jpg,cud,Category:United States Mint errors,Public domain,,519,270,https://commons.wikimedia.org/wiki/File:Jefferson_cud.jpg
overstrike__J_lich_1621_77001250.jpg,overstrike,Category:Overstruck coins,CC BY-SA 3.0,CNG,800,365,https://commons.wikimedia.org/wiki/File:J%C3%BClich_1621_77001250.jpg
overstrike__Kaulonia_incuse_nomos_161428.jpg,overstrike,Category:Overstruck coins,CC BY-SA 3.0,Classical Numismatic Group,500,238,https://commons.wikimedia.org/wiki/File:Kaulonia_incuse_nomos_161428.jpg
overstrike__LVPL-1E6771_FindID_406609_.jpg,overstrike,Category:Overstruck coins,CC BY-SA 4.0,"National Museums Liverpool , Vanessa Oakden, 2010-09-16 10:42:53",800,458,https://commons.wikimedia.org/wiki/File:LVPL-1E6771_(FindID_406609).jpg
unsorted__Lichtenrader_Praegung_1M1875H.jpg,unsorted,Category:Error coins,Attribution,"Martin Schmieder, Stuttgart Verscherbler",1000,479,https://commons.wikimedia.org/wiki/File:Lichtenrader_Praegung_1M1875H.jpg
overstrike__Licinius_double_frappe.jpg,overstrike,Category:Overstruck coins,CC BY-SA 4.0,Maxime Cambreling,6600,2000,https://commons.wikimedia.org/wiki/File:Licinius_double_frappe.jpg
us_mint_error__Lincoln_Memorial_Cent_Mint_Error_Reverse.jpg,us_mint_error,Category:United States Mint errors,CC BY-SA 4.0,No Fear Of Change,1994,1983,https://commons.wikimedia.org/wiki/File:Lincoln_Memorial_Cent_Mint_Error_Reverse.jpg
us_mint_error__LincolnCentCounterStamped.jpg,us_mint_error,Category:United States Mint errors,CC BY-SA 3.0,Contactsmc,448,336,https://commons.wikimedia.org/wiki/File:LincolnCentCounterStamped.jpg
off_centre__Lincolncentoffcenter.jpg,off_centre,Category:United States Mint errors,CC BY-SA 3.0,Contactsmc,800,600,https://commons.wikimedia.org/wiki/File:Lincolncentoffcenter.jpg
overstrike__Louis_XIV_cu_1693_76001787.jpg,overstrike,Category:Overstruck coins,CC BY-SA 3.0,Joseph Roettiers,800,388,https://commons.wikimedia.org/wiki/File:Louis_XIV_%C3%A9cu_1693_76001787.jpg
overstrike__Louis_XIV_cu_1702_76001788.jpg,overstrike,Category:Overstruck coins,CC BY-SA 3.0,CNG,800,384,https://commons.wikimedia.org/wiki/File:Louis_XIV_%C3%A9cu_1702_76001788.jpg
overstrike__Louis_XV_cu_1716_803534.jpg,overstrike,Category:Overstruck coins,CC BY-SA 3.0,CNG,783,373,https://commons.wikimedia.org/wiki/File:Louis_XV_%C3%A9cu_1716_803534.jpg
unsorted__Macrianus_Nicea_Sear_4730_Av.JPG,unsorted,Category:Error coins,CC BY 4.0,HJunghans,2735,2630,https://commons.wikimedia.org/wiki/File:Macrianus_Nicea_Sear_4730_Av.JPG
overstrike__Medieval_Coin_Overstruck_Penny_of_Edward_IV._First_Reign_FindID_234400_.jpg,overstrike,Category:Overstruck coins,CC BY-SA 2.0,"Isle of Wight Council, Frank Basford, 2008-10-11 12:35:27",987,570,"https://commons.wikimedia.org/wiki/File:Medieval_Coin,_Overstruck_Penny_of_Edward_IV._First_Reign_(FindID_234400).jpg"
overstrike__Medieval_Penny_FindID_875925_.jpg,overstrike,Category:Overstruck coins,CC BY 2.0,"Salisbury and South Wiltshire Museum, Fiona Johnstone, 2017-12-12 12:23:06",6982,3955,https://commons.wikimedia.org/wiki/File:Medieval_Penny_(FindID_875925).jpg
overstrike__Medieval_coin_Double_struck_Henry_III_penny_FindID_608542_.jpg,overstrike,Category:Overstruck coins,CC BY-SA 4.0,"Oxfordshire County Council, Anni Byard, 2014-03-26 13:39:39",1059,720,"https://commons.wikimedia.org/wiki/File:Medieval_coin,_Double_struck_Henry_III_penny_(FindID_608542).jpg"
overstrike__Medieval_coin_Farthing_or_half_penny_FindID_865726_.jpg,overstrike,Category:Overstruck coins,CC BY 2.0,"The Portable Antiquities Scheme, Arwen Wood, 2017-09-19 11:56:50",2904,1656,"https://commons.wikimedia.org/wiki/File:Medieval_coin,_Farthing_or_half_penny_(FindID_865726).jpg"
overstrike__Medieval_coin_Scottish_penny_of_William_I_or_Alexander_II._FindID_115546_.jpg,overstrike,Category:Overstruck coins,CC BY-SA 4.0,"Derby Museums Trust, Rachel Atherton, 2005-11-30 13:02:57",2189,1681,"https://commons.wikimedia.org/wiki/File:Medieval_coin,_Scottish_penny_of_William_I_or_Alexander_II._(FindID_115546).jpg"
overstrike__Micheldever_overstruck_nummus_c._355-61_reverse_FindID_438147_.jpg,overstrike,Category:Overstruck coins,CC BY-SA 2.0,"All rights reserved, Sam Moorhead, 2011-04-12 17:32:00",1493,1263,https://commons.wikimedia.org/wiki/File:Micheldever_overstruck_nummus_c._355-61_reverse_(FindID_438147).jpg
overstrike__Micheldever_overstruck_nummus_c._355-61_Obverse_FindID_438147_.jpg,overstrike,Category:Overstruck coins,CC BY-SA 4.0,"All rights reserved, Sam Moorhead, 2011-04-12 17:30:03",1564,1266,"https://commons.wikimedia.org/wiki/File:Micheldever_overstruck_nummus,_c._355-61_Obverse_(FindID_438147).jpg"
overstrike__Milled_Spanish_Coin_A_Counterstruck_Dollar_of_Charles_IV_FindID_474435_.jpg,overstrike,Category:Overstruck coins,CC BY-SA 4.0,"West Yorkshire Archaeology Advisory Service, Mary Blevins, 2011-11-25 16:11:55",3020,1628,"https://commons.wikimedia.org/wiki/File:Milled_Spanish_Coin,_A_Counterstruck_Dollar_of_Charles_IV_(FindID_474435).jpg"
us_mint_error__Mint_Error_LMC_Obverse.jpg,us_mint_error,Category:United States Mint errors,CC BY-SA 4.0,No Fear Of Change,1924,1899,https://commons.wikimedia.org/wiki/File:Mint_Error_LMC_Obverse.jpg
us_mint_error__Mint-made_error_-_1994_Lincoln_cent_with_trails_coming_of_E_PLURIBUS_UNUM.jpg,us_mint_error,Category:United States Mint errors,CC BY 1.0,By the wayside,640,242,https://commons.wikimedia.org/wiki/File:Mint-made_error_-_1994_Lincoln_cent_with_trails_coming_of_E_PLURIBUS_UNUM.jpg
struck_error__Monnaie_-_Argent_fonds_celtique_Vall_e_du_Rh_ne_Type_BRI-COMA_-_btv1b112878799_1_of_2_.jpg,struck_error,Category:Celtic coins with struck errors,Public domain,,1751,1751,"https://commons.wikimedia.org/wiki/File:Monnaie_-_Argent,_fonds_celtique,_Vall%C3%A9e_du_Rh%C3%B4ne,_Type_BRI-COMA_-_btv1b112878799_(1_of_2).jpg"
struck_error__Monnaie_-_Argent_fonds_celtique_Vall_e_du_Rh_ne_Type_COM-COMA_-_btv1b112881182_1_of_2_.jpg,struck_error,Category:Celtic coins with struck errors,Public domain,,1743,1743,"https://commons.wikimedia.org/wiki/File:Monnaie_-_Argent,_fonds_celtique,_Vall%C3%A9e_du_Rh%C3%B4ne,_Type_COM-COMA_-_btv1b112881182_(1_of_2).jpg"
struck_error__Monnaie_-_Argent_fonds_celtique_Vall_e_du_Rh_ne_Type_COOV-COMA_-_btv1b112881326_1_of_2_.jpg,struck_error,Category:Celtic coins with struck errors,Public domain,,2062,2062,"https://commons.wikimedia.org/wiki/File:Monnaie_-_Argent,_fonds_celtique,_Vall%C3%A9e_du_Rh%C3%B4ne,_Type_COOV-COMA_-_btv1b112881326_(1_of_2).jpg"
struck_error__Monnaie_-_Argent_fonds_celtique_Vall_e_du_Rh_ne_Type_COOV-COMA_-_btv1b112881326_2_of_2_.jpg,struck_error,Category:Celtic coins with struck errors,Public domain,,2062,2062,"https://commons.wikimedia.org/wiki/File:Monnaie_-_Argent,_fonds_celtique,_Vall%C3%A9e_du_Rh%C3%B4ne,_Type_COOV-COMA_-_btv1b112881326_(2_of_2).jpg"
struck_error__Monnaie_-_Argent_fonds_celtique_Vall_e_du_Rh_ne_Type_COSII-COMAN_-_btv1b112881059_1_of_2_.jpg,struck_error,Category:Celtic coins with struck errors,Public domain,,1839,1839,"https://commons.wikimedia.org/wiki/File:Monnaie_-_Argent,_fonds_celtique,_Vall%C3%A9e_du_Rh%C3%B4ne,_Type_COSII-COMAN_-_btv1b112881059_(1_of_2).jpg"
struck_error__Monnaie_-_Argent_fonds_celtique_Vall_e_du_Rh_ne_Type_DVRNACVS_-_DONNVS_-_btv1b11287825f_1_of_2_.jpg,struck_error,Category:Celtic coins with struck errors,Public domain,,1909,1909,"https://commons.wikimedia.org/wiki/File:Monnaie_-_Argent,_fonds_celtique,_Vall%C3%A9e_du_Rh%C3%B4ne,_Type_DVRNACVS_-_DONNVS_-_btv1b11287825f_(1_of_2).jpg"
struck_error__Monnaie_-_Argent_fonds_celtique_Vall_e_du_Rh_ne_Type_ROVV-VOLVNT_-_btv1b11288156t_1_of_2_.jpg,struck_error,Category:Celtic coins with struck errors,Public domain,,1815,1815,"https://commons.wikimedia.org/wiki/File:Monnaie_-_Argent,_fonds_celtique,_Vall%C3%A9e_du_Rh%C3%B4ne,_Type_ROVV-VOLVNT_-_btv1b11288156t_(1_of_2).jpg"
struck_error__Monnaie_-_Argent_fonds_celtique_Vall_e_du_Rh_ne_Type_ROVV-VOLVNT_-_btv1b112881578_1_of_2_.jpg,struck_error,Category:Celtic coins with struck errors,Public domain,,1956,1956,"https://commons.wikimedia.org/wiki/File:Monnaie_-_Argent,_fonds_celtique,_Vall%C3%A9e_du_Rh%C3%B4ne,_Type_ROVV-VOLVNT_-_btv1b112881578_(1_of_2).jpg"
struck_error__Monnaie_-_Argent_fonds_celtique_Vall_e_du_Rh_ne_Type_ROVV-VOLVNT_-_btv1b112881578_2_of_2_.jpg,struck_error,Category:Celtic coins with struck errors,Public domain,,1956,1956,"https://commons.wikimedia.org/wiki/File:Monnaie_-_Argent,_fonds_celtique,_Vall%C3%A9e_du_Rh%C3%B4ne,_Type_ROVV-VOLVNT_-_btv1b112881578_(2_of_2).jpg"
unsorted__Monnaie_-_Argent_fonds_celtique_duens_Type_ORGETORIX_-_btv1b11286808m_1_of_2_.jpg,unsorted,Category:Coins of the Aedui - BnF 4813,Public domain,Autorité émettrice de monnaie,1957,1957,"https://commons.wikimedia.org/wiki/File:Monnaie_-_Argent,_fonds_celtique,_%C3%89duens,_Type_ORGETORIX_-_btv1b11286808m_(1_of_2).jpg"
unsorted__Monnaie_-_Argent_fonds_celtique_duens_Type_ORGETORIX_-_btv1b11286808m_2_of_2_.jpg,unsorted,Category:Coins of the Aedui - BnF 4813,Public domain,Autorité émettrice de monnaie,1957,1957,"https://commons.wikimedia.org/wiki/File:Monnaie_-_Argent,_fonds_celtique,_%C3%89duens,_Type_ORGETORIX_-_btv1b11286808m_(2_of_2).jpg"
overstrike__Nahapana_overstruck_by_Gautamaputri_Satakarni.jpg,overstrike,Category:Overstruck coins of Nahapana,CC BY-SA 3.0,CNG Coins,650,296,https://commons.wikimedia.org/wiki/File:Nahapana_overstruck_by_Gautamaputri_Satakarni.jpg
brockage__Napoleon_III_10_francs_80000944.jpg,brockage,Category:Brockage,CC BY-SA 2.5,Jacques-Jean Barre,618,294,https://commons.wikimedia.org/wiki/File:Napoleon_III_10_francs_80000944.jpg
overstrike__Oaxos_-_300_BC_-_silver_stater_-_head_of_Apollon_-_tripod_-_Chania_AM_-_01.jpg,overstrike,Category:Overstruck coins,CC BY-SA 4.0,ArchaiOptix,1772,1772,https://commons.wikimedia.org/wiki/File:Oaxos_-_300_BC_-_silver_stater_-_head_of_Apollon_-_tripod_-_Chania_AM_-_01.jpg
